Latitude;Longitude;yyyy-mm-dd;hh:mm:ss;elevasi (m)
-5.925;107.025;01/01/2020;00:00:00;0.133
-5.925;107.025;01/01/2020;01:00:00;0.185
-5.925;107.025;01/01/2020;02:00:00;0.223
-5.925;107.025;01/01/2020;03:00:00;0.246
-5.925;107.025;01/01/2020;04:00:00;0.254
-5.925;107.025;01/01/2020;05:00:00;0.25
-5.925;107.025;01/01/2020;06:00:00;0.234
-5.925;107.025;01/01/2020;07:00:00;0.206
-5.925;107.025;01/01/2020;08:00:00;0.167
-5.925;107.025;01/01/2020;09:00:00;0.118
-5.925;107.025;01/01/2020;10:00:00;0.058
-5.925;107.025;01/01/2020;11:00:00;-0.009
-5.925;107.025;01/01/2020;12:00:00;-0.08
-5.925;107.025;01/01/2020;13:00:00;-0.149
-5.925;107.025;01/01/2020;14:00:00;-0.211
-5.925;107.025;01/01/2020;15:00:00;-0.258
-5.925;107.025;01/01/2020;16:00:00;-0.284
-5.925;107.025;01/01/2020;17:00:00;-0.286
-5.925;107.025;01/01/2020;18:00:00;-0.263
-5.925;107.025;01/01/2020;19:00:00;-0.216
-5.925;107.025;01/01/2020;20:00:00;-0.149
-5.925;107.025;01/01/2020;21:00:00;-0.07
-5.925;107.025;01/01/2020;22:00:00;0.011
-5.925;107.025;01/01/2020;23:00:00;0.088
-5.925;107.025;02/01/2020;00:00:00;0.151
-5.925;107.025;02/01/2020;01:00:00;0.197
-5.925;107.025;02/01/2020;02:00:00;0.223
-5.925;107.025;02/01/2020;03:00:00;0.228
-5.925;107.025;02/01/2020;04:00:00;0.217
-5.925;107.025;02/01/2020;05:00:00;0.194
-5.925;107.025;02/01/2020;06:00:00;0.161
-5.925;107.025;02/01/2020;07:00:00;0.124
-5.925;107.025;02/01/2020;08:00:00;0.085
-5.925;107.025;02/01/2020;09:00:00;0.044
-5.925;107.025;02/01/2020;10:00:00;0.002
-5.925;107.025;02/01/2020;11:00:00;-0.041
-5.925;107.025;02/01/2020;12:00:00;-0.086
-5.925;107.025;02/01/2020;13:00:00;-0.131
-5.925;107.025;02/01/2020;14:00:00;-0.173
-5.925;107.025;02/01/2020;15:00:00;-0.207
-5.925;107.025;02/01/2020;16:00:00;-0.228
-5.925;107.025;02/01/2020;17:00:00;-0.231
-5.925;107.025;02/01/2020;18:00:00;-0.212
-5.925;107.025;02/01/2020;19:00:00;-0.171
-5.925;107.025;02/01/2020;20:00:00;-0.111
-5.925;107.025;02/01/2020;21:00:00;-0.036
-5.925;107.025;02/01/2020;22:00:00;0.044
-5.925;107.025;02/01/2020;23:00:00;0.12
-5.925;107.025;03/01/2020;00:00:00;0.182
-5.925;107.025;03/01/2020;01:00:00;0.224
-5.925;107.025;03/01/2020;02:00:00;0.241
-5.925;107.025;03/01/2020;03:00:00;0.233
-5.925;107.025;03/01/2020;04:00:00;0.203
-5.925;107.025;03/01/2020;05:00:00;0.158
-5.925;107.025;03/01/2020;06:00:00;0.105
-5.925;107.025;03/01/2020;07:00:00;0.051
-5.925;107.025;03/01/2020;08:00:00;0.002
-5.925;107.025;03/01/2020;09:00:00;-0.04
-5.925;107.025;03/01/2020;10:00:00;-0.073
-5.925;107.025;03/01/2020;11:00:00;-0.099
-5.925;107.025;03/01/2020;12:00:00;-0.121
-5.925;107.025;03/01/2020;13:00:00;-0.141
-5.925;107.025;03/01/2020;14:00:00;-0.16
-5.925;107.025;03/01/2020;15:00:00;-0.175
-5.925;107.025;03/01/2020;16:00:00;-0.183
-5.925;107.025;03/01/2020;17:00:00;-0.18
-5.925;107.025;03/01/2020;18:00:00;-0.161
-5.925;107.025;03/01/2020;19:00:00;-0.124
-5.925;107.025;03/01/2020;20:00:00;-0.068
-5.925;107.025;03/01/2020;21:00:00;0.003
-5.925;107.025;03/01/2020;22:00:00;0.082
-5.925;107.025;03/01/2020;23:00:00;0.157
-5.925;107.025;04/01/2020;00:00:00;0.22
-5.925;107.025;04/01/2020;01:00:00;0.261
-5.925;107.025;04/01/2020;02:00:00;0.273
-5.925;107.025;04/01/2020;03:00:00;0.256
-5.925;107.025;04/01/2020;04:00:00;0.211
-5.925;107.025;04/01/2020;05:00:00;0.146
-5.925;107.025;04/01/2020;06:00:00;0.07
-5.925;107.025;04/01/2020;07:00:00;-0.005
-5.925;107.025;04/01/2020;08:00:00;-0.071
-5.925;107.025;04/01/2020;09:00:00;-0.122
-5.925;107.025;04/01/2020;10:00:00;-0.156
-5.925;107.025;04/01/2020;11:00:00;-0.173
-5.925;107.025;04/01/2020;12:00:00;-0.179
-5.925;107.025;04/01/2020;13:00:00;-0.177
-5.925;107.025;04/01/2020;14:00:00;-0.172
-5.925;107.025;04/01/2020;15:00:00;-0.165
-5.925;107.025;04/01/2020;16:00:00;-0.156
-5.925;107.025;04/01/2020;17:00:00;-0.141
-5.925;107.025;04/01/2020;18:00:00;-0.117
-5.925;107.025;04/01/2020;19:00:00;-0.079
-5.925;107.025;04/01/2020;20:00:00;-0.024
-5.925;107.025;04/01/2020;21:00:00;0.044
-5.925;107.025;04/01/2020;22:00:00;0.121
-5.925;107.025;04/01/2020;23:00:00;0.197
-5.925;107.025;05/01/2020;00:00:00;0.261
-5.925;107.025;05/01/2020;01:00:00;0.303
-5.925;107.025;05/01/2020;02:00:00;0.315
-5.925;107.025;05/01/2020;03:00:00;0.291
-5.925;107.025;05/01/2020;04:00:00;0.236
-5.925;107.025;05/01/2020;05:00:00;0.154
-5.925;107.025;05/01/2020;06:00:00;0.059
-5.925;107.025;05/01/2020;07:00:00;-0.039
-5.925;107.025;05/01/2020;08:00:00;-0.126
-5.925;107.025;05/01/2020;09:00:00;-0.193
-5.925;107.025;05/01/2020;10:00:00;-0.236
-5.925;107.025;05/01/2020;11:00:00;-0.253
-5.925;107.025;05/01/2020;12:00:00;-0.25
-5.925;107.025;05/01/2020;13:00:00;-0.232
-5.925;107.025;05/01/2020;14:00:00;-0.207
-5.925;107.025;05/01/2020;15:00:00;-0.178
-5.925;107.025;05/01/2020;16:00:00;-0.15
-5.925;107.025;05/01/2020;17:00:00;-0.12
-5.925;107.025;05/01/2020;18:00:00;-0.085
-5.925;107.025;05/01/2020;19:00:00;-0.042
-5.925;107.025;05/01/2020;20:00:00;0.014
-5.925;107.025;05/01/2020;21:00:00;0.082
-5.925;107.025;05/01/2020;22:00:00;0.159
-5.925;107.025;05/01/2020;23:00:00;0.236
-5.925;107.025;06/01/2020;00:00:00;0.303
-5.925;107.025;06/01/2020;01:00:00;0.348
-5.925;107.025;06/01/2020;02:00:00;0.362
-5.925;107.025;06/01/2020;03:00:00;0.338
-5.925;107.025;06/01/2020;04:00:00;0.277
-5.925;107.025;06/01/2020;05:00:00;0.184
-5.925;107.025;06/01/2020;06:00:00;0.071
-5.925;107.025;06/01/2020;07:00:00;-0.048
-5.925;107.025;06/01/2020;08:00:00;-0.158
-5.925;107.025;06/01/2020;09:00:00;-0.246
-5.925;107.025;06/01/2020;10:00:00;-0.305
-5.925;107.025;06/01/2020;11:00:00;-0.331
-5.925;107.025;06/01/2020;12:00:00;-0.327
-5.925;107.025;06/01/2020;13:00:00;-0.301
-5.925;107.025;06/01/2020;14:00:00;-0.261
-5.925;107.025;06/01/2020;15:00:00;-0.215
-5.925;107.025;06/01/2020;16:00:00;-0.167
-5.925;107.025;06/01/2020;17:00:00;-0.12
-5.925;107.025;06/01/2020;18:00:00;-0.072
-5.925;107.025;06/01/2020;19:00:00;-0.02
-5.925;107.025;06/01/2020;20:00:00;0.041
-5.925;107.025;06/01/2020;21:00:00;0.112
-5.925;107.025;06/01/2020;22:00:00;0.191
-5.925;107.025;06/01/2020;23:00:00;0.271
-5.925;107.025;07/01/2020;00:00:00;0.343
-5.925;107.025;07/01/2020;01:00:00;0.394
-5.925;107.025;07/01/2020;02:00:00;0.413
